,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
117,Dredd,2012,R,"['Action', ' Crime', ' Sci-Fi']",95,7.1,60,282535,71.0
118,Mortal Kombat,2021,R,"['Action', ' Adventure', ' Fantasy']",110,6.0,44,180800,60.0
119,Jurassic World: Fallen Kingdom,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",128,6.1,51,327129,61.0
120,Escape Room: Tournament of Champions,2021,PG-13,"['Action', ' Adventure', ' Horror']",88,5.7,48,51441,57.0
121,Predator,1987,R,"['Action', ' Adventure', ' Horror']",107,7.8,47,434217,78.0
122,Waterworld,1995,PG-13,"['Action', ' Adventure', ' Sci-Fi']",177,6.3,56,202170,63.0
123,Super 8,2011,PG-13,"['Action', ' Mystery', ' Sci-Fi']",112,7.0,72,360748,70.0
124,Tomorrowland,2015,PG,"['Action', ' Adventure', ' Family']",130,6.4,60,186255,64.0
125,The Invisible Man,2020,R,"['Drama', ' Horror', ' Mystery']",124,7.1,72,237609,71.0
126,Transformers: The Last Knight,2017,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,5.2,27,157899,52.0
127,Alita: Battle Angel,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",122,7.3,53,278730,73.0
128,The Adam Project,2022,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.7,55,213675,67.0
129,Wonder Woman,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",141,7.4,76,674057,74.0
130,Brightburn,2019,R,"['Drama', ' Horror', ' Mystery']",90,6.1,44,102381,61.0
131,Ready Player One,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",140,7.4,64,453632,74.0
132,Deep Blue Sea,1999,R,"['Action', ' Adventure', ' Sci-Fi']",105,5.9,54,137390,59.0
133,About Time,2013,R,"['Comedy', ' Drama', ' Fantasy']",123,7.8,55,364221,78.0
134,Edge of Tomorrow,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,7.9,71,698799,79.0
135,E.T. the Extra-Terrestrial,1982,PG,"['Adventure', ' Family', ' Sci-Fi']",115,7.9,91,420627,79.0
136,Pokémon: Detective Pikachu,2019,PG,"['Action', ' Adventure', ' Comedy']",104,6.5,53,171965,65.0
137,Kong: Skull Island,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",118,6.6,62,329742,66.0
138,The Maze Runner,2014,PG-13,"['Action', ' Mystery', ' Sci-Fi']",113,6.8,57,483369,68.0
139,Spider-Man: Far from Home,2019,PG-13,"['Action', ' Adventure', ' Comedy']",129,7.4,69,515322,74.0
140,Solo: A Star Wars Story,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",135,6.9,62,360535,69.0
141,Star Wars: Episode VIII - The Last Jedi,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",152,6.9,84,647460,69.0
142,The Amazing Spider-Man,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,6.9,66,672004,69.0
143,Sonic the Hedgehog 2,2022,PG,"['Action', ' Adventure', ' Comedy']",122,6.5,47,74812,65.0
144,X-Men,2000,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104,7.3,64,627178,73.0
145,Army of the Dead,2021,R,"['Action', ' Crime', ' Drama']",148,5.7,57,178292,57.0
146,Under the Skin,2013,R,"['Drama', ' Horror', ' Mystery']",108,6.3,80,149281,63.0
147,Battleship,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,5.8,41,252192,58.0
148,The Butterfly Effect,2004,R,"['Drama', ' Sci-Fi', ' Thriller']",113,7.6,30,501480,76.0
149,Terminator: Dark Fate,2019,R,"['Action', ' Adventure', ' Sci-Fi']",128,6.2,54,184362,62.0
150,Superman,1978,PG,"['Action', ' Adventure', ' Sci-Fi']",143,7.4,82,180504,74.0
151,A Quiet Place Part II,2020,PG-13,"['Drama', ' Horror', ' Sci-Fi']",97,7.2,71,247405,72.0
152,Pacific Rim,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,6.9,65,512951,69.0
153,Crimes of the Future,2022,R,"['Drama', ' Horror', ' Sci-Fi']",107,5.9,67,34961,59.0
154,Avengers: Age of Ultron,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",141,7.3,66,885056,73.0
155,Divergent,2014,PG-13,"['Action', ' Adventure', ' Mystery']",139,6.6,48,471457,66.0
156,Slither,2006,R,"['Comedy', ' Horror', ' Sci-Fi']",95,6.5,69,85624,65.0
157,Reminiscence,2021,PG-13,"['Mystery', ' Romance', ' Sci-Fi']",116,5.9,46,60139,59.0
158,Sky High,2005,PG,"['Action', ' Comedy', ' Family']",100,6.3,62,90719,63.0
159,Morbius,2022,PG-13,"['Action', ' Adventure', ' Horror']",104,5.2,35,136697,52.0
160,Jurassic World,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,59,656636,69.0
161,Contact,1997,PG,"['Drama', ' Mystery', ' Sci-Fi']",150,7.5,62,282587,75.0
162,Captain America: Civil War,2016,PG-13,"['Action', ' Sci-Fi']",147,7.8,75,811077,78.0
163,TRON: Legacy,2010,PG,"['Action', ' Adventure', ' Sci-Fi']",125,6.8,49,345269,68.0
164,Sonic the Hedgehog,2020,PG,"['Action', ' Adventure', ' Comedy']",99,6.5,47,147581,65.0
165,Children of Men,2006,R,"['Action', ' Drama', ' Sci-Fi']",109,7.9,84,511447,79.0
166,Face/Off,1997,R,"['Action', ' Crime', ' Sci-Fi']",138,7.3,82,387314,73.0
167,G.I. Joe: Retaliation,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",110,5.7,41,184374,57.0
168,Godzilla,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.4,62,422779,64.0
169,Bumblebee,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,6.7,66,173694,67.0
170,The Mist,2007,R,"['Horror', ' Sci-Fi', ' Thriller']",126,7.1,58,322420,71.0
171,Transformers: Age of Extinction,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",165,5.6,32,320733,56.0
172,28 Days Later,2002,R,"['Drama', ' Horror', ' Sci-Fi']",113,7.5,73,424886,75.0
173,Event Horizon,1997,R,"['Horror', ' Sci-Fi', ' Thriller']",96,6.6,35,187970,66.0
174,Coherence,2013,Not Rated,"['Drama', ' Mystery', ' Sci-Fi']",89,7.2,65,135956,72.0
175,Snowpiercer,2013,R,"['Action', ' Drama', ' Sci-Fi']",126,7.1,84,371685,71.0
176,WarGames,1983,PG,"['Action', ' Drama', ' Sci-Fi']",114,7.1,77,104319,71.0
177,Lucy,2014,R,"['Action', ' Sci-Fi', ' Thriller']",89,6.4,61,511633,64.0
178,World War Z,2013,PG-13,"['Action', ' Adventure', ' Horror']",116,7.0,63,687137,70.0
179,Spider-Man 3,2007,PG-13,"['Action', ' Adventure', ' Sci-Fi']",139,6.3,59,607275,63.0
180,V for Vendetta,2005,R,"['Action', ' Drama', ' Sci-Fi']",132,8.2,62,1140302,82.0
181,Ghost in the Shell,2017,PG-13,"['Action', ' Crime', ' Drama']",107,6.3,52,220537,63.0
182,Terminator Genisys,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,6.3,38,284305,63.0
183,WALL·E,2008,G,"['Animation', ' Adventure', ' Family']",98,8.4,95,1142080,84.0
184,Incredibles 2,2018,PG,"['Animation', ' Action', ' Adventure']",118,7.6,80,309208,76.0
